,Location,Rank,University
469,Warangal,85,"National Institute of Technology, Warangal"
470,Bhopal,474,National Law Institute University
471,Bangalore,122,National Law School of India University
472,New Delhi,198,National Law University
473,Guwahati,496,"National Law University and Judicial Academy, Assam"
474,Jodhpur,236,"National Law University, Jodhpur"
475,Cuttack,451,"National Law University, Orissa"
476,New Delhi,116,National University of Educational Planning and Administration
477,Ranchi,457,National University of Study and Research in Law
478,Bargaon,575,Nava Nalanda Mahavihara
479,Vadodara,549,Navrachana University
480,Navsari ...,354,Navsari Agricultural University
481,Allahabad,478,Nehru Gram Bharati Vishwavidyalaya
482,Kaithal,691,NIILM University
483,Medininagar,595,Nilamber-Pitamber University
484,Jaipur,345,NIMS University
485,Ahmedabad,93,Nirma University of Science and Technology
486,Mangalore,265,NITTE University
487,Hyderabad,401,Nizam's Institute of Medical Sciences
488,Greater Noida,422,Noida International University
489,Shillong ...,78,North Eastern Hill University
490,Itanagar,300,North Eastern Regional Institute of Science and Technology
491,Jalgaon ...,133,North Maharashtra University
492,Baripada,532,North Orissa University
493,Sonipat,197,O.P. Jindal Global University
494,Indore,672,Oriental University
495,Bhubaneswar,281,Orissa University of Agriculture and Technology
496,Hyderabad,37,Osmania University
497,Udaipur,743,Pacific Medical University
498,Udaipur,501,"Pacific University, India"
499,Navi Mumbai,317,Padmashree Dr. D.Y. Patil Vidyapith
500,Mahabubnagar,449,Palamuru University
501,Gandhinagar,187,Pandit Deendayal Petroleum University
502,Sikar,425,Pandit Deendayal Upadhyaya Shekhawati University
503,Raipur,263,Pandit Ravishankar Shukla University
504,Chandigarh,18,Panjab University
505,Waghodia,388,Parul University
506,Patna,244,Patna University
507,Jabalpur,216,"PDPM Indian Institute of Information Technology, Design and Manufacturing"
508,Chandigarh,169,PEC University of Technology
509,Bhopal,567,People's University
510,Vallam ...,500,Periyar Maniammai University
511,Salem,238,Periyar University
512,Bangalore,158,PES University
513,Puducherry ...,53,Pondicherry University
514,Thanjavur,543,Ponnaiyan Ramajayam Institute of Science and Technology
515,Jaipur,477,Poornima University
516,Chandigarh,90,Post Graduate Institute of Medical Education and Research
517,Hyderabad,445,Potti Sreeramulu Telugu University
518,Jaipur,682,Pratap University
519,Loni,299,Pravara Institute of Medical Sciences
520,Kolkata,172,Presidency University
521,Hyderabad,313,Professor Jayashankar Telangana State Agricultural University
522,Rohtak,325,Pt. Bhagwat Dayal Sharma University of Health Sciences
523,Ludhiana,159,Punjab Agricultural University
524,Kapurthala,140,Punjab Technical University
525,Patiala,98,Punjabi University
526,Kolkata,289,Rabindra Bharati University
527,Neemrana,636,Raffles University
528,Dholka,503,Rai University
529,Alwar,541,Raj Rishi Bharthari Matsya University
530,Gwalior,722,Raja Mansingh Tomar Music and Arts University
531,Kota,131,Rajasthan Technical University Kota
532,Jaipur,206,Rajasthan University of Health Sciences
533,Bikaner,408,Rajasthan University of Veterinary and Animal Sciences
534,Samastipur,417,Rajendra Agricultural University
535,Raebareli,368,Rajiv Gandhi Institute of Petroleum Technology
536,Sriperumbudur,342,Rajiv Gandhi National Institute of Youth Development
537,Patiala,432,Rajiv Gandhi National University of Law
538,Bhopal ...,60,Rajiv Gandhi Proudyogiki Vishwavidyalaya
539,Itanagar,260,Rajiv Gandhi University
540,Bangalore,167,Rajiv Gandhi University of Health Sciences
541,Hyderabad,268,Rajiv Gandhi University of Knowledge Technologies
542,Gwalior,623,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya
543,Ahmedabad,678,Raksha Shakti University
544,Kanpur,622,Rama University
545,Belur ...,431,Ramakrishna Mission Vivekananda University
546,Ranchi,447,Ranchi University
547,Belagavi,480,"Rani Channamma University, Belagavi"
548,Jabalpur,251,Rani Durgavati Vishwavidyalaya
549,Nagpur,151,Rashtrasant Tukadoji Maharaj Nagpur University
550,New Delhi,394,Rashtriya Sanskrit Sansthan University
551,Tirupati,472,Rashtriya Sanskrit Vidyapeetha
552,Cuttack,279,Ravenshaw University
553,Kurnool,441,Rayalaseema University
554,Kharar,629,Rayat-Bahra University
555,Bangalore,475,REVA University
556,Rajkot,335,RK University
557,Bhopal,588,RKDF University
558,Ranchi,681,Sai Nath University
